subject,word,category,span,total_years_present,span_start,total_years,coverage_pct,total_topic_hits,avg_topics_when_present,topic_counts_per_year,presence
math,error,emerging,8,15,2018,26,57.7,18,1.2,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 2, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 2]",····█·█··██·█·██··████████
math,gradient,emerging,10,11,2016,26,42.3,12,1.09,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1]",·············█··██████████
math,mathrm,emerging,16,18,2010,26,69.2,70,3.89,"[0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 3, 6, 3, 5, 5, 4, 3, 8, 3, 6, 10, 7]",·····█··█·████████████████
math,dynamic,emerging,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
math,function,stable,26,26,2000,26,100.0,31,1.19,"[1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1]",██████████████████████████
math,property,stable,3,8,2018,26,30.8,8,1.0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1]",···█·········██···███···██
math,set,stable,25,25,2001,26,96.2,51,2.04,"[0, 1, 2, 2, 1, 1, 3, 2, 2, 1, 2, 3, 2, 2, 3, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2]",·█████████████████████████
math,non,stable,2,5,2001,26,19.2,8,1.6,"[0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",·██········██··█··········
math,matrix,stable,8,20,2010,26,76.9,26,1.3,"[1, 0, 1, 0, 2, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 2, 2, 2, 0, 1, 1, 1, 2, 2, 1, 1]",█·█·██··█·████████·███████
math,local,stable,1,5,2003,26,19.2,5,1.0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0]",···█···█········█·█·····█·
math,measure,stable,14,22,2008,26,84.6,24,1.09,"[0, 1, 0, 1, 1, 1, 1, 0, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]",·█·████·██████████████·███
math,boundary,stable,23,25,2003,26,96.2,40,1.6,"[3, 1, 0, 1, 1, 2, 1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2]",██·███████████████████████
math,term,stable,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
math,type,stable,4,15,2010,26,57.7,21,1.4,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 4, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 2, 1, 3]",··█····█··████·█·████·████
math,limit,stable,22,24,2004,26,92.3,24,1.0,"[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",█·█·██████████████████████
math,point,stable,2,2,2012,26,7.7,2,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",············██············
